f_number,relative_height,frequency_lp_mm,direction,reference_manual,model,sampling,error
5.6,0,5,T,0.9,0.8771243277983889,2048,-0.02287567220161113
5.6,0,5,S,0.9,0.8771243277983889,2048,-0.02287567220161113
5.6,0,10,T,0.79,0.7839883476836701,2048,-0.006011652316329941
5.6,0,10,S,0.79,0.7839883476836701,2048,-0.006011652316329941
5.6,0,20,T,0.64,0.5990585643591056,2048,-0.040941435640894364
5.6,0,20,S,0.64,0.5990585643591056,2048,-0.040941435640894364
5.6,0.2,5,T,0.66,0.6056586692336314,2048,-0.0543413307663686
5.6,0.2,5,S,0.8,0.6422374013981911,2048,-0.15776259860180897
5.6,0.2,10,T,0.47,0.40772704067868615,2048,-0.062272959321313825
5.6,0.2,10,S,0.59,0.5250559023602277,2048,-0.06494409763977227
5.6,0.2,20,T,0.32,0.20610458905865098,2048,-0.11389541094134903
5.6,0.2,20,S,0.4,0.3585784878178063,2048,-0.0414215121821937
5.6,0.4,5,T,0.48,0.39012447435447006,2048,-0.08987552564552992
5.6,0.4,5,S,0.68,0.4188154003973407,2048,-0.26118459960265933
5.6,0.4,10,T,0.28,0.21345614459743106,2048,-0.06654385540256896
5.6,0.4,10,S,0.41,0.314042869763534,2048,-0.09595713023646596
5.6,0.4,20,T,0.055,0.0855901311562103,2048,0.030590131156210294
5.6,0.4,20,S,0.28,0.1856661747630508,2048,-0.09433382523694922
5.6,0.6,5,T,0.42,0.31391834049880624,2048,-0.10608165950119375
5.6,0.6,5,S,0.58,0.2768074927705208,2048,-0.30319250722947916
5.6,0.6,10,T,0.215,0.2037610156705411,2048,-0.011238984329458884
5.6,0.6,10,S,0.32,0.20282321473750337,2048,-0.11717678526249664
5.6,0.6,20,T,0.07,0.06144396039514747,2048,-0.008556039604852538
5.6,0.6,20,S,0.235,0.12614257221783404,2048,-0.10885742778216595
5.6,0.68,5,T,0.4,0.2658447053300082,2048,-0.13415529466999182
5.6,0.68,5,S,0.54,0.23139769012015282,2048,-0.3086023098798472
5.6,0.68,10,T,0.21,0.16893631363046052,2048,-0.04106368636953947
5.6,0.68,10,S,0.29,0.16713708718024833,2048,-0.12286291281975165
5.6,0.68,20,T,0.09,0.07026504442722534,2048,-0.01973495557277466
5.6,0.68,20,S,0.21,0.10694305908954259,2048,-0.1030569409104574
8,0,5,T,0.94,0.9551305467715129,512,0.015130546771512932
8,0,5,S,0.94,0.9551305467715129,512,0.015130546771512932
8,0,10,T,0.865,0.8829547627338368,512,0.017954762733836782
8,0,10,S,0.865,0.8829547627338368,512,0.017954762733836782
8,0,20,T,0.69,0.7031617038118323,512,0.013161703811832348
8,0,20,S,0.69,0.7031617038118323,512,0.013161703811832348
8,0.2,5,T,0.8,0.8755909571318641,512,0.07559095713186403
8,0.2,5,S,0.92,0.9389869398689964,512,0.018986939868996355
8,0.2,10,T,0.6,0.6599033803198693,512,0.059903380319869304
8,0.2,10,S,0.78,0.8342022496962036,512,0.054202249696203575
8,0.2,20,T,0.39,0.37265730058663626,512,-0.01734269941336375
8,0.2,20,S,0.57,0.5913225422346133,512,0.021322542234613384
8,0.4,5,T,0.67,0.6495516550242116,512,-0.0204483449757884
8,0.4,5,S,0.79,0.8329401465678705,512,0.042940146567870485
8,0.4,10,T,0.41,0.3646723827726788,512,-0.04532761722732115
8,0.4,10,S,0.57,0.6438417767499963,512,0.07384177674999637
8,0.4,20,T,0.14,0.12617229138998745,512,-0.013827708610012562
8,0.4,20,S,0.4,0.36923579978879373,512,-0.030764200211206294
8,0.6,5,T,0.54,0.5716517875831596,512,0.03165178758315956
8,0.6,5,S,0.53,0.5623462636781384,512,0.03234626367813842
8,0.6,10,T,0.3,0.32110761160519796,512,0.021107611605197973
8,0.6,10,S,0.35,0.42628801130643706,512,0.07628801130643709
8,0.6,20,T,0.14,0.038682692793149585,512,-0.10131730720685042
8,0.6,20,S,0.26,0.2701222938931224,512,0.010122293893122414
8,0.68,5,T,0.48,0.4704754156115714,512,-0.00952458438842857
8,0.68,5,S,0.45,0.4738804989336265,512,0.02388049893362648
8,0.68,10,T,0.27,0.26740629546556466,512,-0.0025937045344353593
8,0.68,10,S,0.29,0.3515893353437377,512,0.06158933534373773
8,0.68,20,T,0.12,0.07180745882429039,512,-0.048192541175709605
8,0.68,20,S,0.22,0.2317583352893691,512,0.011758335289369093
22,0,5,T,0.905,0.9156528445541487,512,0.010652844554148722
22,0,5,S,0.905,0.9156528445541487,512,0.010652844554148722
22,0,10,T,0.82,0.8204255116264088,512,0.00042551162640880325
22,0,10,S,0.82,0.8204255116264088,512,0.00042551162640880325
22,0,20,T,0.66,0.6338114520258671,512,-0.026188547974132947
22,0,20,S,0.66,0.6338114520258671,512,-0.026188547974132947
22,0.2,5,T,0.9,0.9068684188035088,512,0.006868418803508747
22,0.2,5,S,0.9,0.9174888191374766,512,0.017488819137476574
22,0.2,10,T,0.77,0.8000420318624856,512,0.030042031862485552
22,0.2,10,S,0.815,0.8291914818084396,512,0.014191481808439654
22,0.2,20,T,0.62,0.5813937216261029,512,-0.038606278373897074
22,0.2,20,S,0.655,0.6565205323530217,512,0.0015205323530216308
22,0.4,5,T,0.87,0.8757764513942614,512,0.005776451394261417
22,0.4,5,S,0.89,0.9120760940977977,512,0.02207609409779765
22,0.4,10,T,0.705,0.7312937399739126,512,0.0262937399739126
22,0.4,10,S,0.8,0.8200637742930214,512,0.020063774293021308
22,0.4,20,T,0.485,0.4467535498547744,512,-0.0382464501452256
22,0.4,20,S,0.63,0.6411428129432639,512,0.011142812943263913
22,0.6,5,T,0.78,0.8078200000144365,512,0.02782000001443652
22,0.6,5,S,0.87,0.896283254083363,512,0.02628325408336296
22,0.6,10,T,0.545,0.6001663616974143,512,0.05516636169741429
22,0.6,10,S,0.77,0.7837870608993789,512,0.013787060899378867
22,0.6,20,T,0.3,0.28680179331849764,512,-0.013198206681502345
22,0.6,20,S,0.59,0.5734220988692877,512,-0.016577901130712225
22,0.68,5,T,0.72,0.7363554641641974,512,0.01635546416419742
22,0.68,5,S,0.85,0.8864663868707877,512,0.03646638687078774
22,0.68,10,T,0.455,0.491450051839551,512,0.03645005183955097
22,0.68,10,S,0.72,0.7617276991783957,512,0.041727699178395694
22,0.68,20,T,0.19,0.19271104938353423,512,0.0027110493835342253
22,0.68,20,S,0.51,0.5375371087023062,512,0.02753710870230619
22,0.8,5,T,0.615,0.5858779434225677,512,-0.029122056577432276
22,0.8,5,S,0.82,0.8568647390092429,512,0.03686473900924292
22,0.8,10,T,0.34,0.3275178964442888,512,-0.012482103555711221
22,0.8,10,S,0.64,0.6967916135538144,512,0.056791613553814346
22,0.8,20,T,0.07,0.09067630995282822,512,0.02067630995282821
22,0.8,20,S,0.39,0.449452766830426,512,0.059452766830425996
22,1.0,5,T,0.45,0.40830671582290706,512,-0.04169328417709295
22,1.0,5,S,0.74,0.7063606096099444,512,-0.03363939039005559
22,1.0,10,T,0.2,0.16440033562370435,512,-0.035599664376295664
22,1.0,10,S,0.485,0.4378465906648819,512,-0.04715340933511808
22,1.0,20,T,0.03,0.0032572670512437583,512,-0.026742732948756242
22,1.0,20,S,0.24,0.2073566859492118,512,-0.032643314050788186
