surface,radius_mm,thickness_mm,glass,semi_diameter_mm,stop
1,196.483923471622,3.4,KF9,46.43767422168307,False
2,33.4656017271078,13.0,,31.260194884415746,False
3,37.517420738463,16.03,N-LAK33B,29.44100765263869,False
4,61.0264590042432,11.636,,24.85505773612212,False
5,36.9355917431991,3.2,N-LAK33B,16.35722461334106,False
6,43.6228532070946,3.31029973551715,,14.984289264584106,False
7,inf,2.74970026448285,,13.9984,True
8,99.8288671643214,13.1,N-SK5,18.77263770019635,False
9,-23.6077695784745,4.7,F2,19.272282225764453,False
10,-41.8660801210672,0.99,,22.733922513190464,False
11,-41.0525192926871,5.3,K10,22.68548798172326,False
12,202.686893321945,134.995445512064,,28.550970836327654,False
