f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.8474286454397193,-0.052571354560280725,1024
5.6,0,5,S,0.9,0.8474286454397193,-0.052571354560280725,1024
5.6,0,10,T,0.8,0.7483571616018945,-0.05164283839810557,1024
5.6,0,10,S,0.8,0.7483571616018945,-0.05164283839810557,1024
5.6,0,20,T,0.64,0.5777648816302595,-0.062235118369740494,1024
5.6,0,20,S,0.64,0.5777648816302595,-0.062235118369740494,1024
5.6,0.1,5,T,0.825,0.776737647239579,-0.0482623527604209,1024
5.6,0.1,5,S,0.87,0.8023060960559115,-0.06769390394408847,1024
5.6,0.1,10,T,0.685,0.5975311137830248,-0.08746888621697524,1024
5.6,0.1,10,S,0.74,0.6736481271939272,-0.0663518728060728,1024
5.6,0.1,20,T,0.515,0.4006566155348781,-0.11434338446512193,1024
5.6,0.1,20,S,0.565,0.4898119255801652,-0.07518807441983477,1024
5.6,0.2,5,T,0.69,0.6936453663317945,0.003645366331794575,1024
5.6,0.2,5,S,0.8,0.707820728664344,-0.09217927133565607,1024
5.6,0.2,10,T,0.475,0.5059539881969588,0.030953988196958826,1024
5.6,0.2,10,S,0.615,0.5991313050712792,-0.015868694928720783,1024
5.6,0.2,20,T,0.29,0.2731528555585286,-0.016847144441471396,1024
5.6,0.2,20,S,0.435,0.420768982725051,-0.01423101727494902,1024
5.6,0.3,5,T,0.565,0.6134462302946654,0.04844623029466544,1024
5.6,0.3,5,S,0.73,0.6395513739377455,-0.09044862606225446,1024
5.6,0.3,10,T,0.325,0.41671701713335735,0.09171701713335734,1024
5.6,0.3,10,S,0.5,0.531787413909474,0.03178741390947404,1024
5.6,0.3,20,T,0.11,0.17629179287716046,0.06629179287716046,1024
5.6,0.3,20,S,0.3,0.3730461662187812,0.07304616621878124,1024
5.6,0.4,5,T,0.49,0.5558380118063436,0.06583801180634363,1024
5.6,0.4,5,S,0.68,0.5647579779923865,-0.11524202200761358,1024
5.6,0.4,10,T,0.22,0.35741645413513357,0.13741645413513356,1024
5.6,0.4,10,S,0.42,0.47064931270526233,0.05064931270526235,1024
5.6,0.4,20,T,0.045,0.11730094542159492,0.07230094542159492,1024
5.6,0.4,20,S,0.28,0.3290106438514642,0.0490106438514642,1024
5.6,0.5,5,T,0.46,0.5382985380498607,0.0782985380498607,1024
5.6,0.5,5,S,0.63,0.5216549658482946,-0.10834503415170538,1024
5.6,0.5,10,T,0.21,0.3489413879118125,0.13894138791181251,1024
5.6,0.5,10,S,0.37,0.42953916000703396,0.059539160007033964,1024
5.6,0.5,20,T,0.06,0.14194601004473922,0.08194601004473923,1024
5.6,0.5,20,S,0.27,0.28983990357877815,0.01983990357877813,1024
5.6,0.6,5,T,0.425,0.5061047198305659,0.08110471983056594,1024
