surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop,conic
1,187.804379667587,3.46544586943618,H-KF6,41.0,41.0,False,0.0
2,33.2451597847609,12.1509973502091,,29.0,29.0,False,0.0
3,37.530054826008,15.9863014161689,H-LAK53A,25.8,25.8,False,0.0
4,60.403342464794,12.0717286782834,,19.5,19.5,False,0.0
5,36.6961950529944,2.83231029852354,H-LAK53B,15.0,15.0,False,0.0
6,43.6176423539182,4.7933130853814,,14.5,14.5,False,0.0
7,inf,1.89193281883383,,14.19264216359401,14.19264216359401,True,0.0
8,101.326866317589,13.633527241496,H-ZK3A,14.4,14.4,False,0.0
9,-22.5657112046967,4.65382825262435,F4GTI,14.4,14.4,False,0.0
10,-42.452930120543,1.08962587465669,,15.5,15.5,False,0.0
11,-42.2528200503329,4.70512459376602,H-K1,14.0,14.0,False,0.0
12,202.619472570992,135.181084729638,,18.8,18.8,False,0.0
