f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.8918098865033812,-0.0081901134966188,1024
5.6,0,5,S,0.9,0.8918098865033812,-0.0081901134966188,1024
5.6,0,10,T,0.8,0.7973784614147018,-0.002621538585298233,1024
5.6,0,10,S,0.8,0.7973784614147018,-0.002621538585298233,1024
5.6,0,20,T,0.64,0.6200414311760498,-0.019958568823950196,1024
5.6,0,20,S,0.64,0.6200414311760498,-0.019958568823950196,1024
5.6,0.1,5,T,0.825,0.7965797543470762,-0.02842024565292378,1024
5.6,0.1,5,S,0.87,0.8371336165373533,-0.0328663834626467,1024
5.6,0.1,10,T,0.685,0.6103345591463709,-0.07466544085362914,1024
5.6,0.1,10,S,0.74,0.6940661189886134,-0.045933881011386624,1024
5.6,0.1,20,T,0.515,0.41074751532882037,-0.10425248467117965,1024
5.6,0.1,20,S,0.565,0.4778148286926072,-0.08718517130739273,1024
5.6,0.2,5,T,0.69,0.6785431776294091,-0.011456822370590869,1024
5.6,0.2,5,S,0.8,0.7261032017132517,-0.07389679828674833,1024
5.6,0.2,10,T,0.475,0.4659690842861614,-0.009030915713838572,1024
5.6,0.2,10,S,0.615,0.6028129168685521,-0.012187083131447896,1024
5.6,0.2,20,T,0.29,0.23030172668366503,-0.059698273316334954,1024
5.6,0.2,20,S,0.435,0.41082239767226525,-0.02417760232773475,1024
5.6,0.3,5,T,0.565,0.5589804781324431,-0.006019521867556832,1024
5.6,0.3,5,S,0.73,0.651280467009744,-0.07871953299025602,1024
5.6,0.3,10,T,0.325,0.302364081902468,-0.022635918097532015,1024
5.6,0.3,10,S,0.5,0.5349667688293483,0.03496676882934835,1024
5.6,0.3,20,T,0.11,0.15562572999296512,0.04562572999296512,1024
5.6,0.3,20,S,0.3,0.36371486063447683,0.06371486063447684,1024
5.6,0.4,5,T,0.49,0.46851225328236595,-0.021487746717634038,1024
5.6,0.4,5,S,0.68,0.5768090300799866,-0.10319096992001342,1024
5.6,0.4,10,T,0.22,0.22686628440922546,0.006866284409225459,1024
5.6,0.4,10,S,0.42,0.47834768301008807,0.05834768301008808,1024
5.6,0.4,20,T,0.045,0.08485028234345861,0.03985028234345861,1024
5.6,0.4,20,S,0.28,0.3248237745676513,0.0448237745676513,1024
5.6,0.5,5,T,0.46,0.4821587738584651,0.022158773858465097,1024
5.6,0.5,5,S,0.63,0.5341505586647406,-0.09584944133525941,1024
5.6,0.5,10,T,0.21,0.24062486784394882,0.030624867843948828,1024
5.6,0.5,10,S,0.37,0.43937275963579414,0.06937275963579415,1024
5.6,0.5,20,T,0.06,0.0467489636336452,-0.013251036366354794,1024
5.6,0.5,20,S,0.27,0.2918056366402709,0.02180563664027091,1024
5.6,0.6,5,T,0.425,0.5117926814289457,0.08679268142894575,1024
5.6,0.6,5,S,0.575,0.5001819197565507,-0.07481808024344927,1024
5.6,0.6,10,T,0.215,0.27869105956429285,0.06369105956429286,1024
5.6,0.6,10,S,0.32,0.40927395103635017,0.08927395103635016,1024
5.6,0.6,20,T,0.085,0.07969598793834567,-0.005304012061654331,1024
5.6,0.6,20,S,0.24,0.26772392353550695,0.027723923535506956,1024
5.6,0.68,5,T,0.39,0.513091990354647,0.12309199035464702,1024
5.6,0.68,5,S,0.525,0.47813061101141013,-0.04686938898858989,1024
5.6,0.68,10,T,0.2,0.3094102541623338,0.1094102541623338,1024
5.6,0.68,10,S,0.285,0.3901073330564221,0.10510733305642211,1024
5.6,0.68,20,T,0.09,0.12544550727930084,0.03544550727930085,1024
5.6,0.68,20,S,0.2,0.26077463866276696,0.060774638662766944,1024
8,0,5,T,0.94,0.9530872581925331,0.013087258192533202,512
8,0,5,S,0.94,0.9530872581925331,0.013087258192533202,512
8,0,10,T,0.87,0.8733797678054029,0.0033797678054029445,512
8,0,10,S,0.87,0.8733797678054029,0.0033797678054029445,512
8,0,20,T,0.69,0.6653584554411897,-0.02464154455881029,512
8,0,20,S,0.69,0.6653584554411897,-0.02464154455881029,512
8,0.1,5,T,0.87,0.9431409462267967,0.07314094622679668,512
