surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop,conic
1,186.759381831689,3.54909012718579,KF9,41.0,41.0,False,0.0
2,33.33978297898,12.3260287536116,,29.0,29.0,False,0.0
3,37.4832760693477,15.9707961033376,H-LAK53A,25.8,25.8,False,0.0
4,60.426060050683006,11.9786782907599,,19.5,19.5,False,0.0
5,36.5566510864593,2.87562016056951,N-LAK33B,15.0,15.0,False,0.0
6,43.6200629431416,4.85649789338512,,14.5,14.5,False,0.0
7,inf,1.68313875058759,,14.222424536685054,14.222424536685054,True,0.0
8,101.21611571050501,13.4257936591951,N-SK5,14.4,14.4,False,0.0
9,-24.0349774795406,4.52900686016025,F2,14.4,14.4,False,0.0
10,-41.6417994178537,0.98587033592472,,15.5,15.5,False,0.0
11,-40.8607807596614,5.0740790780115,K10,14.0,14.0,False,0.0
12,202.29969912187804,135.263798852228,,18.8,18.8,False,0.0
