surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop
1,201.077105508904,3.4,KF9,41.0,41.0,False
2,33.3757572112859,13.0,,29.0,29.0,False
3,37.2740161470352,16.03,N-LAK33B,25.8,25.8,False
4,60.30976654183619,11.636,,19.5,19.5,False
5,36.5979841400225,3.2,N-LAK33B,15.0,15.0,False
6,43.7086749475334,4.8399010320964,,14.5,14.5,False
7,inf,1.2200989679036,,14.277706863749422,14.277706863749422,True
8,99.01517548578448,13.1,N-SK5,14.4,14.4,False
9,-23.813786373297,4.7,F2,14.4,14.4,False
10,-42.204533427974,0.99,,15.5,15.5,False
11,-40.4781137532944,5.3,K10,14.0,14.0,False
12,203.585602547297,135.401541880338,,18.8,18.8,False
