f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.895446219868812,-0.004553780131188012,1024
5.6,0,5,S,0.9,0.895446219868812,-0.004553780131188012,1024
5.6,0,10,T,0.8,0.791830574273577,-0.008169425726423096,1024
5.6,0,10,S,0.8,0.791830574273577,-0.008169425726423096,1024
5.6,0,20,T,0.64,0.5955751082187446,-0.044424891781255416,1024
5.6,0,20,S,0.64,0.5955751082187446,-0.044424891781255416,1024
5.6,0.1,5,T,0.825,0.7793585203861236,-0.04564147961387632,1024
5.6,0.1,5,S,0.87,0.8193968124838141,-0.050603187516185866,1024
5.6,0.1,10,T,0.685,0.6127103906053204,-0.07228960939467965,1024
5.6,0.1,10,S,0.74,0.6687023937437114,-0.07129760625628856,1024
5.6,0.1,20,T,0.515,0.3904681937824762,-0.1245318062175238,1024
5.6,0.1,20,S,0.565,0.4695837714178579,-0.09541622858214205,1024
5.6,0.2,5,T,0.69,0.6842115231255087,-0.005788476874491244,1024
5.6,0.2,5,S,0.8,0.6937646561356522,-0.10623534386434785,1024
5.6,0.2,10,T,0.475,0.4944303673056776,0.0194303673056776,1024
5.6,0.2,10,S,0.615,0.5725297593802599,-0.04247024061974014,1024
5.6,0.2,20,T,0.29,0.25405114337283097,-0.03594885662716901,1024
5.6,0.2,20,S,0.435,0.3974596026511253,-0.03754039734887471,1024
5.6,0.3,5,T,0.565,0.7051416557784191,0.1401416557784192,1024
5.6,0.3,5,S,0.73,0.6205863016215791,-0.10941369837842085,1024
5.6,0.3,10,T,0.325,0.4936718018346253,0.16867180183462527,1024
5.6,0.3,10,S,0.5,0.5007616308896394,0.0007616308896394308,1024
5.6,0.3,20,T,0.11,0.2473125780675857,0.13731257806758568,1024
5.6,0.3,20,S,0.3,0.34121282786353924,0.04121282786353925,1024
5.6,0.4,5,T,0.49,0.8549561938318486,0.36495619383184863,1024
5.6,0.4,5,S,0.68,0.5474835460152033,-0.13251645398479672,1024
5.6,0.4,10,T,0.22,0.6448093414052263,0.4248093414052263,1024
5.6,0.4,10,S,0.42,0.4447540762676118,0.024754076267611835,1024
5.6,0.4,20,T,0.045,0.4534033883508063,0.4084033883508063,1024
5.6,0.4,20,S,0.28,0.3045354397786295,0.024535439778629486,1024
5.6,0.5,5,T,0.46,0.47996504554615654,0.019965045546156523,1024
5.6,0.5,5,S,0.63,0.5016240326226734,-0.1283759673773266,1024
5.6,0.5,10,T,0.21,0.24417475643194864,0.034174756431948644,1024
5.6,0.5,10,S,0.37,0.4060112695447803,0.03601126954478029,1024
5.6,0.5,20,T,0.06,0.03853503647242782,-0.021464963527572177,1024
5.6,0.5,20,S,0.27,0.27439110239906017,0.004391102399060154,1024
5.6,0.6,5,T,0.425,0.4824110835860976,0.05741108358609759,1024
5.6,0.6,5,S,0.575,0.4687733748801076,-0.10622662511989234,1024
5.6,0.6,10,T,0.215,0.27092722354837157,0.05592722354837157,1024
5.6,0.6,10,S,0.32,0.3765672428721868,0.056567242872186785,1024
5.6,0.6,20,T,0.085,0.04942263080279101,-0.035577369197209,1024
5.6,0.6,20,S,0.24,0.25616316767530484,0.016163167675304846,1024
5.6,0.68,5,T,0.39,0.4403731269435428,0.05037312694354279,1024
5.6,0.68,5,S,0.525,0.45357432345004844,-0.07142567654995158,1024
5.6,0.68,10,T,0.2,0.25304382266796843,0.05304382266796842,1024
5.6,0.68,10,S,0.285,0.36594431366315,0.08094431366315002,1024
5.6,0.68,20,T,0.09,0.062183046133860005,-0.02781695386613999,1024
5.6,0.68,20,S,0.2,0.26001669943219996,0.06001669943219995,1024
8,0,5,T,0.94,0.953971304297489,0.013971304297489051,512
8,0,5,S,0.94,0.953971304297489,0.013971304297489051,512
8,0,10,T,0.87,0.8764274861791965,0.006427486179196529,512
8,0,10,S,0.87,0.8764274861791965,0.006427486179196529,512
8,0,20,T,0.69,0.6723351600264266,-0.017664839973573376,512
8,0,20,S,0.69,0.6723351600264266,-0.017664839973573376,512
8,0.1,5,T,0.87,0.9412950912302978,0.07129509123029776,512
8,0.1,5,S,0.94,0.9527810957922,0.012781095792200103,512
8,0.1,10,T,0.78,0.8338989965115782,0.053898996511578146,512
8,0.1,10,S,0.855,0.8719672685228238,0.01696726852282382,512
8,0.1,20,T,0.595,0.5680276150593775,-0.026972384940622485,512
8,0.1,20,S,0.64,0.65697262577858,0.01697262577857994,512
8,0.2,5,T,0.765,0.8868203141948434,0.1218203141948434,512
8,0.2,5,S,0.915,0.9483867853059129,0.03338678530591288,512
8,0.2,10,T,0.61,0.6784933897994807,0.06849338979948072,512
8,0.2,10,S,0.795,0.8593249792880047,0.06432497928800462,512
8,0.2,20,T,0.39,0.35177897191214963,-0.038221028087850384,512
8,0.2,20,S,0.55,0.6300805654742128,0.08008056547421272,512
8,0.3,5,T,0.68,0.7773719706522596,0.09737197065225955,512
8,0.3,5,S,0.86,0.9300016426291906,0.07000164262919062,512
8,0.3,10,T,0.48,0.453936354194274,-0.026063645805725955,512
8,0.3,10,S,0.715,0.8178190007201787,0.10281900072017869,512
8,0.3,20,T,0.235,0.19562515410185208,-0.03937484589814791,512
8,0.3,20,S,0.465,0.5845665494552682,0.11956654945526818,512
8,0.4,5,T,0.67,0.6993817481364609,0.029381748136460883,512
8,0.4,5,S,0.765,0.8660467480460162,0.10104674804601621,512
8,0.4,10,T,0.4,0.37253827451786786,-0.02746172548213216,512
8,0.4,10,S,0.6,0.7057808419250076,0.10578084192500758,512
8,0.4,20,T,0.15,0.11732118158432406,-0.032678818415675936,512
8,0.4,20,S,0.4,0.482253258979575,0.08225325897957497,512
8,0.5,5,T,0.66,0.7413428333073011,0.08134283330730108,512
8,0.5,5,S,0.66,0.7363158754997454,0.07631587549974539,512
8,0.5,10,T,0.385,0.4604914260205107,0.07549142602051068,512
8,0.5,10,S,0.49,0.57921852022423,0.08921852022423005,512
8,0.5,20,T,0.14,0.10677525053189707,-0.03322474946810294,512
8,0.5,20,S,0.35,0.40801068734602153,0.05801068734602155,512
8,0.6,5,T,0.55,0.7784740553789501,0.22847405537895005,512
8,0.6,5,S,0.56,0.5941426291578318,0.03414262915783173,512
8,0.6,10,T,0.33,0.5579973044406108,0.22799730444061078,512
8,0.6,10,S,0.395,0.48974309893138135,0.09474309893138133,512
8,0.6,20,T,0.145,0.25516038690333853,0.11016038690333854,512
8,0.6,20,S,0.275,0.32584118633163073,0.050841186331630706,512
8,0.68,5,T,0.46,0.8010507038878844,0.34105070388788433,512
8,0.68,5,S,0.49,0.5340212595966588,0.04402125959665881,512
8,0.68,10,T,0.275,0.5996049745087345,0.3246049745087345,512
8,0.68,10,S,0.33,0.42707111939170694,0.09707111939170693,512
8,0.68,20,T,0.13,0.39300915411092024,0.26300915411092024,512
8,0.68,20,S,0.215,0.2967448155746453,0.08174481557464533,512
8,0.7,5,T,0.44,0.8120398947420432,0.3720398947420432,512
8,0.7,5,S,0.47,0.5268430271002159,0.05684302710021594,512
8,0.7,10,T,0.26,0.6079573694812155,0.3479573694812155,512
8,0.7,10,S,0.305,0.4175602328844102,0.1125602328844102,512
8,0.7,20,T,0.12,0.40720995372833835,0.28720995372833835,512
8,0.7,20,S,0.2,0.2933304905593794,0.09333049055937936,512
8,0.78,5,T,0.36,0.8700923144693857,0.5100923144693857,512
8,0.78,5,S,0.4,0.474571535291253,0.07457153529125299,512
8,0.78,10,T,0.205,0.6722656025019551,0.46726560250195515,512
8,0.78,10,S,0.255,0.3781221312980919,0.12312213129809191,512
8,0.78,20,T,0.075,0.444471072628944,0.36947107262894396,512
8,0.78,20,S,0.155,0.2759347755654505,0.12093477556545049,512
22,0,5,T,0.91,0.9113066713285081,0.0013066713285080356,512
