f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.882607356414227,-0.01739264358577297,1024
5.6,0,5,S,0.9,0.882607356414227,-0.01739264358577297,1024
5.6,0,10,T,0.8,0.7829173820314523,-0.01708261796854771,1024
5.6,0,10,S,0.8,0.7829173820314523,-0.01708261796854771,1024
5.6,0,20,T,0.64,0.5982731930225885,-0.04172680697741149,1024
5.6,0,20,S,0.64,0.5982731930225885,-0.04172680697741149,1024
5.6,0.1,5,T,0.825,0.7897716622256457,-0.0352283377743543,1024
5.6,0.1,5,S,0.87,0.8263368964215051,-0.0436631035784949,1024
5.6,0.1,10,T,0.685,0.602098621704791,-0.08290137829520905,1024
5.6,0.1,10,S,0.74,0.6868459012987527,-0.05315409870124732,1024
5.6,0.1,20,T,0.515,0.4125674553250217,-0.10243254467497831,1024
5.6,0.1,20,S,0.565,0.48216443449349283,-0.08283556550650711,1024
5.6,0.2,5,T,0.69,0.6667441075223797,-0.023255892477620277,1024
5.6,0.2,5,S,0.8,0.7168739544432161,-0.08312604555678393,1024
5.6,0.2,10,T,0.475,0.47208851827657805,-0.002911481723421927,1024
5.6,0.2,10,S,0.615,0.6028515408804103,-0.012148459119589727,1024
5.6,0.2,20,T,0.29,0.23323049702144244,-0.05676950297855754,1024
5.6,0.2,20,S,0.435,0.4241116363329528,-0.010888363667047207,1024
5.6,0.3,5,T,0.565,0.5503249690811772,-0.014675030918822718,1024
5.6,0.3,5,S,0.73,0.6461331049934605,-0.08386689500653943,1024
5.6,0.3,10,T,0.325,0.3229514661887363,-0.0020485338112636864,1024
5.6,0.3,10,S,0.5,0.5354598800052042,0.03545988000520417,1024
5.6,0.3,20,T,0.11,0.13765279752882578,0.02765279752882578,1024
5.6,0.3,20,S,0.3,0.3801249121081568,0.08012491210815681,1024
5.6,0.4,5,T,0.49,0.46894799979769763,-0.021052000202302357,1024
5.6,0.4,5,S,0.68,0.5699937772462521,-0.11000622275374794,1024
5.6,0.4,10,T,0.22,0.2502355903508204,0.03023559035082038,1024
5.6,0.4,10,S,0.42,0.47543030823912735,0.05543030823912737,1024
5.6,0.4,20,T,0.045,0.07462013455333505,0.02962013455333505,1024
5.6,0.4,20,S,0.28,0.3340556430854381,0.05405564308543809,1024
5.6,0.5,5,T,0.46,0.4784088363562433,0.018408836356243297,1024
5.6,0.5,5,S,0.63,0.5250887124948905,-0.10491128750510947,1024
5.6,0.5,10,T,0.21,0.2604031640368652,0.050403164036865206,1024
5.6,0.5,10,S,0.37,0.4346665441784274,0.06466654417842743,1024
