surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop,conic
1,186.75634015861502,3.54955782739696,KF9,41.0,41.0,False,0.0
2,33.3152079393403,12.3240436034845,,29.0,29.0,False,0.0
3,37.4897227610194,15.9775536133099,N-LAK33B,25.8,25.8,False,0.0
4,60.417974389261595,11.9726159590405,,19.5,19.5,False,0.0
5,36.5511408808629,2.87437344043213,N-LAK33B,15.0,15.0,False,0.0
6,43.6454067402838,4.85023881667881,,14.5,14.5,False,0.0
7,inf,1.68398514355953,,14.230327702875863,14.230327702875863,True,0.0
8,101.15055255979298,13.4322115353693,N-SK5,14.4,14.4,False,0.0
9,-24.0439594907693,4.53245389748636,F2,14.4,14.4,False,0.0
10,-41.6373748280787,0.978465803781788,,15.5,15.5,False,0.0
11,-40.8454134979528,5.06790116914285,K10,14.0,14.0,False,0.0
12,202.371379837165,135.35474590197,,18.8,18.8,False,0.0
