surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop,conic
1,186.766578729554,3.54953531224822,KF9,41.0,41.0,False,0.0
2,33.335799107243,12.3235563668472,,29.0,29.0,False,0.0
3,37.4889402732244,15.9777943402792,N-LAK33B,25.8,25.8,False,0.0
4,60.411506135978506,11.9731794075832,,19.5,19.5,False,0.0
5,36.5685886879732,2.87509309958999,N-LAK33B,15.0,15.0,False,0.0
6,43.6294334416939,4.85123453578638,,14.5,14.5,False,0.0
7,inf,1.6855602485093,,14.225135757597235,14.225135757597235,True,0.0
8,101.17299947919798,13.4330332873814,N-SK5,14.4,14.4,False,0.0
9,-24.046435072199404,4.53270369798771,F2,14.4,14.4,False,0.0
10,-41.6189991484769,0.981887165719159,,15.5,15.5,False,0.0
11,-40.8560992685271,5.06773350039717,K10,14.0,14.0,False,0.0
12,202.361958481281,135.408789815897,,18.8,18.8,False,0.0
